ADM3_FR;ADM3_PCODE;ADM3_REF;ADM3ALT1_FR;ADM3ALT2_FR;ADM2_FR;ADM2_PCODE;ADM1_FR;ADM1_PCODE;ADM0_FR;ADM0_PCODE;DATE;VALIDON;VALIDTO;AREA_SQKM
Agotime Nord;TG040303;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;213,6223297
Agou-Akplolo;TG040309;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;45,41307449
Agou Agbetiko/Agou Dzidjole;TG040304;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;68,62937927
Agou Atigbe;TG040305;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;33,60274887
Agou Gadzepe;TG040306;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;31,93080139
Agou Kebo;TG040307;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;18,00283432
Agou Yiboe/Kati;TG040308;;;;Agou;TG0403;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;109,9596786
Agouegan;TG030402;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;49,17280579
Agoulou;TG010501;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;264,1190491
Ahassome;TG040801;;;;Moyen-Mono;TG0408;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;133,0201416
Ahepe;TG030701;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;95,15232849
Ahlon;TG040401;;;;Danyi;TG0404;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;51,02680588
Akata;TG040702;;;;Kpele;TG0407;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;89,15196991
Akepe;TG030101;;;;Ave;TG0301;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;42,75925827
Aklakou;TG030403;;;;Lacs;TG0304;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;179,9918365
Akoumape;TG030601;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;123,4131088
Akpare;TG040901;;;;Ogou;TG0409;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;276,3467407
Akponte;TG020601;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;215,7035217
Aledjo;TG020101;;;;Assoli;TG0201;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;187,6049652
Aleheride/Amaide;TG010502;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;243,508606
Alibi;TG010402;;;;Tchamba;TG0104;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;538,5431519
Aloum;TG020502;;;;Doufelgou;TG0205;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;164,7183533
Amou-Oblo;TG040102;;;;Amou;TG0401;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;150,7402039
